depth,dt,rhob,pp,omega_v,omega_h_caps,omega_h,e,poissons_ration,friction_agnle,ucs,cp,cp_timer,lcp,fp
350,180.82 ,1.94 ,1.05 ,1.819838456,1.73 ,1.57 ,0.42 ,0.27 ,45.47 ,0.730050692,1.24 ,1.32 ,1.57 ,1.650744545
352,180.68 ,1.94 ,1.05 ,1.82045475,1.73 ,1.57 ,0.43 ,0.27 ,45.47 ,0.733738879,1.24 ,1.32 ,1.57 ,1.651237613
354,180.55 ,1.90 ,1.05 ,1.821063448,1.73 ,1.57 ,0.43 ,0.27 ,45.47 ,0.709974697,1.24 ,1.32 ,1.57 ,1.651723899
356,180.41 ,1.91 ,1.05 ,1.821420877,1.73 ,1.57 ,0.44 ,0.27 ,45.47 ,0.718065518,1.24 ,1.32 ,1.57 ,1.65201134
358,180.27 ,1.80 ,1.05 ,1.821344457,1.73 ,1.57 ,0.44 ,0.27 ,45.48 ,0.639207649,1.25 ,1.33 ,1.57 ,1.651954289
360,180.14 ,1.65 ,1.05 ,1.821097111,1.73 ,1.57 ,0.43 ,0.27 ,45.49 ,0.538641142,1.25 ,1.33 ,1.57 ,1.651761414
362,180.00 ,1.80 ,1.05 ,1.820706516,1.73 ,1.57 ,0.45 ,0.27 ,45.48 ,0.645656836,1.25 ,1.33 ,1.57 ,1.651457446
364,179.86 ,1.64 ,1.05 ,1.820725032,1.73 ,1.57 ,0.44 ,0.27 ,45.49 ,0.534706356,1.25 ,1.33 ,1.57 ,1.651474015
366,179.73 ,1.81 ,1.05 ,1.820018274,1.73 ,1.57 ,0.46 ,0.27 ,45.48 ,0.65265117,1.25 ,1.33 ,1.57 ,1.650919622
368,179.59 ,1.88 ,1.05 ,1.820208764,1.73 ,1.57 ,0.47 ,0.27 ,45.47 ,0.71056137,1.24 ,1.32 ,1.57 ,1.651073415
370,179.45 ,1.99 ,1.05 ,1.820755744,1.73 ,1.57 ,0.49 ,0.27 ,45.46 ,0.799042238,1.24 ,1.32 ,1.57 ,1.651508844
372,179.32 ,1.96 ,1.05 ,1.821664839,1.73 ,1.58 ,0.49 ,0.27 ,45.47 ,0.776301979,1.24 ,1.32 ,1.58 ,1.652228841
374,179.18 ,1.77 ,1.05 ,1.822080814,1.73 ,1.58 ,0.48 ,0.27 ,45.48 ,0.636160013,1.25 ,1.33 ,1.58 ,1.65255745
376,179.04 ,1.77 ,1.05 ,1.821684112,1.73 ,1.58 ,0.49 ,0.27 ,45.48 ,0.638251332,1.25 ,1.33 ,1.58 ,1.652245098
378,178.91 ,1.80 ,1.05 ,1.821353425,1.73 ,1.57 ,0.49 ,0.27 ,45.48 ,0.659712682,1.25 ,1.33 ,1.57 ,1.651984836
380,178.77 ,1.88 ,1.05 ,1.82177516,1.73 ,1.58 ,0.51 ,0.27 ,45.47 ,0.721996685,1.25 ,1.33 ,1.58 ,1.652319041
382,178.64 ,1.81 ,1.05 ,1.821939253,1.73 ,1.58 ,0.51 ,0.27 ,45.48 ,0.669323355,1.25 ,1.33 ,1.58 ,1.652448146
384,178.50 ,1.90 ,1.05 ,1.822175303,1.73 ,1.58 ,0.52 ,0.27 ,45.47 ,0.74174287,1.25 ,1.33 ,1.58 ,1.652635016
386,178.37 ,1.82 ,1.05 ,1.822649881,1.73 ,1.58 ,0.52 ,0.27 ,45.48 ,0.683711858,1.25 ,1.33 ,1.58 ,1.65300852
388,178.23 ,1.92 ,1.05 ,1.822929911,1.73 ,1.58 ,0.53 ,0.27 ,45.47 ,0.763016238,1.25 ,1.33 ,1.58 ,1.653229406
390,178.09 ,1.91 ,1.05 ,1.823466079,1.73 ,1.58 ,0.54 ,0.27 ,45.47 ,0.754573987,1.25 ,1.33 ,1.58 ,1.653651239
392,177.96 ,1.90 ,1.05 ,1.823918368,1.73 ,1.58 ,0.55 ,0.27 ,45.47 ,0.74721915,1.25 ,1.33 ,1.58 ,1.654006456
