depth,a,b,c
1,6,3.39,0.79
2,40,1.32,0.32
3,42,9.41,0.43
4,67,7.56,0.7
5,36,9.66,0.33
6,13,8.68,0.08
7,16,1.76,0.61
8,51,7.23,0.86
9,30,5.32,0.09
10,47,6.02,0.59
11,79,1.93,0.32
12,67,8.26,0.19
13,76,2.18,0.21
14,17,0.65,0.69
15,30,5.43,0
16,90,6.2,0.41
17,92,5.05,0.09
18,81,8.15,0.37
19,59,0.99,0.7
20,76,4.05,0.47
21,75,6.88,0.91
22,94,7.51,0.92
23,23,0.54,0.97
24,1,5.57,0.57
25,77,2.19,0.8
26,73,6.63,0.21
27,30,2.46,0.53
28,48,8.44,0.61
29,84,7.71,0.85
30,8,2.75,0.52
31,9,2.23,0.27
32,72,9.38,0.93
33,38,9.73,0.58
34,35,4.81,0.31
35,81,3.85,0.39
36,77,4.49,0.05
37,14,5.45,0.89
38,67,5.16,0.33
39,55,9.09,0.38
40,67,0.4,0.33
41,4,7.5,0.91
42,56,6.18,0.66
43,96,2.49,0.59
44,14,8.41,0.28
45,45,3.35,0.62
46,18,4.71,0.45
47,32,7.84,0.85
48,55,0.57,0.02
49,10,3.93,0.16
50,46,8.22,0.63
51,25,8.31,0.5
52,37,2.52,0.2
53,56,9.45,0.18
54,91,7.36,0.08
55,24,4.22,0.64
56,67,1.53,0.64
57,13,1.91,0.05
58,68,3.49,0.74
59,36,5.63,0.95
60,55,8.24,0.12
61,61,8.91,0.97
62,83,2.25,0.24
63,22,6.08,0.1
64,17,7.22,0.01
65,95,2.7,0.34
66,27,2.15,0.62
67,9,3.58,0.82
68,19,9.52,0.57
69,34,8.7,0.98
70,12,3.35,0.22
71,79,4.9,0.92
72,20,0.16,0.12
73,1,3.22,0.25
74,34,9.95,0.65
75,4,8.74,0.95
76,39,3.86,0.77
77,13,8.43,0.99
78,96,7.44,0.67
79,60,8.69,0.29
80,81,2.3,0.19
81,20,6.57,0.67
82,7,0.14,0.97
83,59,4.51,0.39
84,94,8.48,0.86
85,15,7.45,0.28
86,16,1.79,0.69
87,53,5.53,0.01
88,24,5.37,0.62
89,58,3.26,0.39
90,60,5.2,0.86
91,11,9.77,0.26
92,16,2.91,0.38
93,94,4.46,0.43
94,14,3.29,0.14
95,13,0.36,0.39
96,56,6.27,0.84
97,50,0.81,0.16
98,32,5.48,0.68
99,35,4.67,0.66
100,26,6.64,0.92
101,79,4.62,0.75
102,34,0.33,0.93
103,32,7.99,0.37
104,49,1.13,0.78
105,72,6.64,0.76
106,32,6.1,0.95
107,75,5.17,0.03
108,80,2.55,0.08
109,60,4.5,0.93
110,3,1.52,0.39
111,8,2.12,0.06
112,73,7.18,0.99
113,31,9.98,0.19
114,40,3.54,0.97
115,37,0.25,0.25
116,19,7.4,0.24
117,28,4.58,0.82
118,3,8.41,0.61
119,3,4.02,0.84
120,48,0.05,0.67
121,72,2.49,0.81
122,85,1.96,0.63
123,68,5.75,0.72
124,65,6.43,0.09
125,16,9.96,0.92
126,96,8.7,0.8
127,58,9.59,0.57
128,1,8.66,0.72
129,8,7.28,0.44
130,76,9.22,0.48
131,92,0.69,0.01
132,28,4.72,0.24
133,97,2.14,0.31
134,40,5.81,0.41
135,87,6.04,0.13
136,65,8.11,0.97
137,62,8.97,0.35
138,75,6.09,0.85
139,44,0.11,0.86
140,83,5.05,0.49
141,15,5.54,0.12
142,15,0.05,0.07
143,91,8.47,0.97
144,77,8.43,0.34
145,52,4.57,0.76
146,62,9.73,0.85
147,62,1.85,0.39
148,3,8.54,0.62
149,76,3.5,0.05
150,68,8.83,0.43
151,73,1.45,0.62
152,76,0.43,0.05
153,38,1.22,0.8
154,30,9.78,0.95
155,91,5.2,0.24
156,66,9.94,0.42
157,11,7.06,0.09
158,51,1.43,0.14
159,75,1.07,0.89
160,42,4.62,0.56
161,8,2.97,0.23
162,76,6.68,0.29
163,17,8.18,0.34
164,60,9.37,0.59
165,74,0.51,0.73
166,22,7.79,0.73
167,58,7.85,0.46
168,13,8.07,0.48
169,93,8.54,0.33
170,89,7.84,0.49
171,26,1.68,0.86
172,4,0.15,0.21
173,57,6.27,0.22
174,45,8.74,0.88
175,3,8.65,0.58
176,9,5.61,0.97
177,29,3.29,0.37
178,45,7.67,0.73
179,76,8.69,0.96
180,75,3.59,0.88
181,42,9.82,0.03
182,89,7.42,0.32
183,48,9.52,0.1
184,11,9.61,0.27
185,16,6.3,0.97
186,15,4.3,0.47
187,73,9.25,0.12
188,35,8.33,0.11
189,16,8.58,0.5
190,46,8.07,0.33
191,0,6.58,0.14
192,30,4.14,0.4
193,97,3.02,0.54
194,44,8.5,0.23
195,86,2.83,0.25
196,51,4.34,0.04
197,29,9.82,0.6
198,33,4.45,0.37
199,1,2.54,0.99
200,70,0.25,0.74
201,72,5.87,0.11
202,85,2.77,0.24
203,98,1.76,0.47
204,87,8.85,0.04
205,28,4.01,0.85
206,76,6.51,0.11
207,83,8.81,0.73
208,4,5.55,0.92
209,70,6.87,0.01
210,18,8.42,0.21
211,28,0.62,0.3
212,67,6.53,0.46
213,23,4.64,0.36
214,50,2.35,0.26
215,58,5.3,0.59
216,51,7.06,0.56
217,26,2.13,0.09
218,10,3.67,0.54
219,31,2.9,0.86
220,66,0.23,0.93
221,53,4.37,0.17
222,3,5.7,0.99
223,4,1.27,0.6
224,16,7.65,0.87
225,32,7.64,0.72
226,87,5.07,0.67
227,19,0.4,0.27
228,28,0.85,0.26
229,6,9.54,0.12
230,2,7.72,0.74
231,24,3.47,0.38
232,35,3.98,0.7
233,52,0,0.65
234,82,6.61,0.88
235,82,8.11,0.22
236,25,2.39,0.78
237,87,7.98,0.23
238,16,6.7,0.67
239,90,3.1,0.34
240,79,9.84,0.9
241,84,8.52,0.43
242,10,7.72,0.86
243,91,0.73,0.95
244,40,1.39,0.2
245,19,7.76,0.17
246,100,4.39,0.34
247,62,7.66,0.81
248,21,9.31,0.34
249,99,3.94,0.93
250,30,4.96,0.28
251,73,7.26,0.99
252,87,9.2,0.71
253,86,1.4,0.94
254,46,1.81,0.37
255,77,4.25,0.19
256,53,9.95,0.43
257,62,2.92,0.01
258,18,1.9,0.21
259,3,6.04,0.97
260,93,6.18,0.49
261,74,9.98,0.55
262,57,2,0.59
263,25,7.6,0.39
264,23,5.47,0.24
265,97,9.73,0.05
266,12,5.26,0.91
267,20,0.61,0.07
268,90,4.12,0.29
269,79,5.9,0.68
270,44,0.21,0.11
271,21,7.05,0.53
272,18,7.06,0.58
273,49,2.61,0.84
274,43,5.06,0.92
275,71,3.32,0.03
276,71,4.88,0.48
277,72,6.93,0.19
278,3,7.49,0.13
279,57,6.65,0.77
280,15,4.41,0.94
281,48,9.37,0.3
282,44,3.58,0.87
283,18,4.17,0.93
284,39,9.1,0.08
285,61,7.98,0.96
286,63,7.61,0.42
287,21,4.07,0.15
288,71,0.76,0.28
289,56,4.01,0.89
290,57,9.49,0.65
291,57,2.45,0.2
292,44,9.43,0.42
293,93,9.1,0.82
294,38,4.13,0.45
295,1,7.24,0.83
296,29,4.59,0.13
297,11,0.95,0.57
298,5,0.6,0.92
299,26,2.92,0.26
300,43,0.4,0.26
301,27,5.94,0.71
302,98,8.78,0.69
303,16,1.9,0.97
304,77,5.32,0.77
305,37,0.78,0.2
306,95,3.83,0.75
307,81,0.19,0.31
308,25,1.29,0.58
309,29,1.93,0.5
310,56,7.86,0.98
311,44,2.12,0.34
312,14,9.78,0.09
313,47,3.38,0.86
314,95,8.94,0.77
315,66,1.59,0.39
316,22,4.26,0.92
317,31,8.77,0.05
318,85,9.86,0.8
319,38,8.5,0.21
320,78,4.41,0.14
321,33,7.93,0.91
322,20,3.11,0.02
323,16,9.6,0.35
324,8,1.17,0.85
325,64,1.35,0.84
326,42,3.89,0.8
327,61,9.13,0.21
328,75,3.06,0.26
329,92,9.1,0.76
330,83,6.28,0.34
331,7,7.3,0.74
332,88,8.94,0.32
333,77,2.74,0.47
334,49,1.46,0.07
335,28,7.61,0.81
336,63,5.94,0.5
337,54,6.11,0.6
338,70,9.37,0.79
339,7,8.51,0.27
340,95,0.11,0.68
341,72,5.41,0.79
342,67,1.6,0.66
343,5,2.12,0.17
344,36,0.73,0.94
345,96,9.48,0.76
346,17,9.51,0.15
347,100,4.34,0.94
348,69,5.3,0.46
349,66,8.68,0.05
350,98,6.97,0.13
351,31,1.64,0.16
352,18,7.29,0.08
353,21,3.61,0.17
354,70,1.29,0.03
355,45,7.08,0.23
356,43,7.58,0.01
357,47,7.45,0.53
358,17,2.99,0.46
359,91,3.02,0.92
360,39,0.41,0.22
361,21,6.47,0.47
362,83,7.5,0.24
363,26,3.74,0.18
364,97,9.42,0.6
365,75,1.89,0.32
366,74,7.33,0.02
367,1,6.69,0.72
368,32,1.25,0.64
369,3,9.37,0.99
370,92,3.12,0.21
371,14,5.21,0.13
372,13,1.91,0.16
373,41,4.54,0.52
374,99,3.6,0.39
375,99,0.01,0.83
376,41,1.92,0.47
377,23,8.23,0.69
378,72,4.83,0.4
379,90,5.1,0.48
380,84,3.01,0.34
381,49,5.18,0.97
382,71,2.39,0.44
383,41,9.88,0.38
384,25,5.99,0.26
385,43,0.67,0.66
386,73,7.31,0.12
387,17,0.49,0.32
388,31,2.14,0.75
389,28,4.09,0.18
390,15,8.9,0.29
391,18,6.96,0.19
392,10,9.98,0.63
393,71,1.42,0.78
394,61,5.25,0.86
395,60,9.33,0.06
396,37,8.8,0.05
397,70,8.02,0.49
398,6,3.06,0.8
399,97,6.17,0.58
400,48,8.19,0.17
401,68,9.62,0.43
402,85,9.37,0.42
403,28,5.92,0.01
404,59,2.22,0.03
405,94,1.65,0.31
406,84,0.64,0.57
407,65,9.3,0.17
408,26,7,0.06
409,42,0.1,0.37
410,82,6.2,0.84
411,62,5.68,0.29
412,70,8.85,0.14
413,61,4.74,0.05
414,57,1.96,0.04
415,9,0.79,0.84
416,1,3.16,0.69
417,5,2.31,0.92
418,62,2.12,0.55
419,17,7.44,0.19
420,42,2.54,0.26
421,29,1.28,0.25
422,95,8.2,0.58
423,11,5.11,0.8
424,47,2.72,0.79
425,53,2.78,0.59
426,77,4.07,0.66
427,58,7.47,0.55
428,62,8.41,0.25
429,86,0.28,0.82
430,54,9.94,0.96
431,17,9.91,0.13
432,88,1.62,0.1
433,3,4.2,0.2
